Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
627,IGARASHI,IGARASHI.NS,Igarashi Motors India Limited,"58,024",0,0,162305
628,JMCPROJECT,JMCPROJECT.NS,JMC Projects (India)  Limited,"57,927",0,0,1134081
629,VSTTILLERS,VSTTILLERS.NS,V.S.T Tillers Tractors Limited,"57,751",0,0,6218753
630,EXCELINDUS,EXCELINDUS.NS,Excel Industries Limited,"57,669",0,1,2936577
631,FOSECOIND,FOSECOIND.NS,Foseco India Limited,"57,596",0,0,274689
632,IMPAL,IMPAL.NS,India Motor Parts and Accessories Limited,"57,445",0,0,3074305
633,KITEX,KITEX.NS,Kitex Garments Limited,"57,390",0,0,7398145
634,ENIL,ENIL.NS,Entertainment Network (India) Limited,"57,181",0,1,3377153
635,NRBBEARING,NRBBEARING.NS,NRB Bearing Limited,"57,136",0,0,1933569
636,SASKEN,SASKEN.NS,Sasken Technologies Limited,"57,111",0,0,3067649
637,JKIL,JKIL.NS,J.Kumar Infraprojects Limited,"56,938",0,0,3908097
638,MARKSANS,MARKSANS.NS,Marksans Pharma Limited,"56,895",0,0,2708225
639,GMBREW,GMBREW.NS,GM Breweries Limited,"56,496",0,0,299009
640,TIMETECHNO,TIMETECHNO.NS,Time Technoplast Limited,"56,424",0,1,3764993
641,ANDHRAPAP,ANDHRAPAP.NS,ANDHRA PAPER LIMITED,"56,314",0,0,42497
642,ORISSAMINE,ORISSAMINE.NS,The Orissa Minerals Development Company Limited,"56,196",0,0,5102337
643,OCCL,OCCL.NS,Oriental Carbon & Chemicals Limited,"55,820",0,0,3131137
644,MSTCLTD,MSTCLTD.NS,Mstc Limited,"55,792",0,1,2395137
645,KSL,KSL.NS,Kalyani Steels Limited,"55,614",0,0,4835585
646,SSWL,SSWL.NS,Steel Strips Wheels Limited,"55,273",0,0,3028225
647,KCP,KCP.NS,KCP Limited,"55,178",0,0,471297
648,DHAMPURSUG,DHAMPURSUG.NS,Dhampur Sugar Mills Limited,"54,670",0,0,219393
649,ALOKINDS,ALOKINDS.NS,Alok Industries Limited,"54,404",0,0,4524801
650,BFUTILITIE,BFUTILITIE.NS,BF Utilities Limited,"54,317",0,0,3729153
651,PRABHAT,PRABHAT.NS,Prabhat Dairy Limited,"53,820",0,0,2726401
652,PARAGMILK,PARAGMILK.NS,Parag Milk Foods Limited,"53,707",0,0,4385281
653,GALLISPAT,GALLISPAT.NS,Gallantt Ispat Limited,"53,649",0,0,5155841
654,GATI,GATI.NS,GATI Limited,"53,166",0,0,3504129
655,SNOWMAN,SNOWMAN.NS,Snowman Logistics Limited,"52,716",0,0,1239809
656,APEX,APEX.NS,Apex Frozen Foods Limited,"52,672",0,0,5535489
657,CLNINDIA,CLNINDIA.NS,Clariant Chemicals (India) Limited,"52,465",0,0,183041
658,CIGNITITEC,CIGNITITEC.NS,Cigniti Technologies Limited,"52,394",0,0,1316353
659,TEXRAIL,TEXRAIL.NS,Texmaco Rail & Engineering Limited,"52,179",0,0,5587969
660,NUCLEUS,NUCLEUS.NS,Nucleus Software Exports Limited,"52,172",0,0,2762497
661,QUICKHEAL,QUICKHEAL.NS,Quick Heal Technologies Limited,"51,909",0,0,3357697
662,BODALCHEM,BODALCHEM.NS,Bodal Chemicals Limited,"51,868",0,0,6404353
663,SRIPIPES,SRIPIPES.NS,Srikalahasthi Pipes Limited,"51,625",0,0,3821313
664,RADIOCITY,RADIOCITY.NS,Music Broadcast Limited,"51,507",0,0,5089537
665,NXTDIGITAL,NXTDIGITAL.NS,NXTDIGITAL LIMITED,"51,430",0,0,3724033
666,VINDHYATEL,VINDHYATEL.NS,Vindhya Telelinks Limited,"51,397",0,0,945665
667,ITDCEM,ITDCEM.NS,ITD Cementation India Limited,"51,107",0,0,1439233
668,LGBBROSLTD,LGBBROSLTD.NS,LG Balakrishnan & Bros Limited,"51,060",0,0,4690177
669,ASHIANA,ASHIANA.NS,Ashiana Housing Limited,"50,971",0,0,6247169
670,ARVIND,ARVIND.NS,Arvind Limited,"50,848",0,0,49409
671,PFS,PFS.NS,PTC India Financial Services Limited,"50,740",0,0,5786113
672,SIRCA,SIRCA.NS,Sirca Paints India Limited,"50,712",0,0,2828801
673,SHANKARA,SHANKARA.NS,Shankara Building Products Limited,"50,623",0,0,5202177
674,SHANTIGEAR,SHANTIGEAR.NS,Shanthi Gears Limited,"50,326",0,0,787969
675,SHALBY,SHALBY.NS,Shalby Limited,"49,847",0,0,182785
676,CAPACITE,CAPACITE.NS,Capacit'e Infraprojects Limited,"49,832",0,1,5567745
677,RKFORGE,RKFORGE.NS,Ramkrishna Forgings Limited,"49,828",0,0,2921217
678,RELIGARE,RELIGARE.NS,Religare Enterprises Limited,"49,173",0,0,3857409
679,SHIL,SHIL.NS,Somany Home Innovation Limited,"49,125",0,0,4066049
680,USHAMART,USHAMART.NS,Usha Martin Limited,"48,759",0,0,2263041
681,ASIANTILES,ASIANTILES.NS,Asian Granito India Limited,"48,697",0,0,3811585
682,ANDHRSUGAR,ANDHRSUGAR.NS,The Andhra Sugars Limited,"47,993",0,0,34817
683,MOLDTKPAC,MOLDTKPAC.NS,Mold-Tek Packaging Limited,"47,924",0,0,1718529
684,SADBHIN,SADBHIN.NS,Sadbhav Infrastructure Project Limited,"47,903",0,0,2718209
685,BEPL,BEPL.NS,Bhansali Engineering Polymers Limited,"47,864",0,0,107265
686,STERTOOLS,STERTOOLS.NS,Sterling Tools Limited,"47,696",0,0,1100545
687,MAXVIL,MAXVIL.NS,Max Ventures and Industries Limited,"47,646",0,0,4471809
688,POWERMECH,POWERMECH.NS,Power Mech Projects Limited,"47,626",0,0,2681089
689,SANGHIIND,SANGHIIND.NS,Sanghi Industries Limited,"47,314",0,0,767233
690,CAMLINFINE,CAMLINFINE.NS,Camlin Fine Sciences Limited,"47,289",0,0,1591297
691,HIL,HIL.NS,HIL Limited,"47,128",0,0,372481
692,ICIL,ICIL.NS,Indo Count Industries Limited,"46,981",0,0,3068673
693,HBLPOWER,HBLPOWER.NS,HBL Power Systems Limited,"46,980",0,0,3575297
694,GTPL,GTPL.NS,GTPL Hathway Limited,"46,953",0,0,5425921
695,BANCOINDIA,BANCOINDIA.NS,Banco Products (I) Limited,"46,523",0,1,3553281
696,SADBHAV,SADBHAV.NS,Sadbhav Engineering Limited,"46,496",0,0,3388417
697,RANEHOLDIN,RANEHOLDIN.NS,Rane Holdings Limited,"46,032",0,0,728065
698,HINDOILEXP,HINDOILEXP.NS,Hindustan Oil Exploration Company Limited,"45,972",0,1,359169
699,FSC,FSC.NS,Future Supply Chain Solutions Limited,"45,880",0,0,190465
700,MAGMA,MAGMA.NS,Magma Fincorp Limited,"45,804",0,0,2919169
701,MASTEK,MASTEK.NS,Mastek Limited,"45,754",0,0,543745
702,OAL,OAL.NS,Oriental Aromatics Limited,"45,533",0,0,2756609
703,PCJEWELLER,PCJEWELLER.NS,PC Jeweller Limited,"45,228",0,0,7455745
704,WABAG,WABAG.NS,VA Tech Wabag Limited,"45,038",0,0,5168129
705,ASTRAMICRO,ASTRAMICRO.NS,Astra Microwave Products Limited,"44,951",0,0,2974209
706,TTKHLTCARE,TTKHLTCARE.NS,TTK Healthcare Limited,"44,934",0,0,2910465
707,TIIL,TIIL.NS,Technocraft Industries (India) Limited,"44,533",0,0,3641089
708,MIRZAINT,MIRZAINT.NS,Mirza International Limited,"44,333",0,0,1124865
709,KINGFA,KINGFA.NS,Kingfa Science & Technology (India) Limited,"44,276",0,0,4849665
710,SUNFLAG,SUNFLAG.NS,Sunflag Iron And Steel Company Limited,"43,613",0,0,857089
711,KIRLOSIND,KIRLOSIND.NS,Kirloskar Industries Limited,"43,495",0,0,4870401
712,SMLISUZU,SMLISUZU.NS,SML Isuzu Limited,"43,437",0,0,867073
713,GEOJITFSL,GEOJITFSL.NS,Geojit Financial Services Limited,"43,371",0,0,3045377
715,PNBGILTS,PNBGILTS.NS,PNB Gilts Limited,"43,112",0,0,2236417
716,MOREPENLAB,MOREPENLAB.NS,Morepen Laboratories Limited,"42,923",0,0,578305
717,INDNIPPON,INDNIPPON.NS,India Nippon Electricals Limited,"42,902",0,0,1215233
718,SARDAEN,SARDAEN.NS,Sarda Energy & Minerals Limited,"42,358",0,0,4546049
719,KICL,KICL.NS,Kalyani Investment Company Limited,"41,710",0,0,5406465
720,MUTHOOTCAP,MUTHOOTCAP.NS,Muthoot Capital Services Limited,"41,292",0,0,2666241
721,EBIXFOREX,EBIXFOREX.NS,EBIXCASH WORLD MONEY INDIA LIMITED,"41,168",0,0,6244097
722,JPPOWER,JPPOWER.NS,Jaiprakash Power Ventures Limited,"41,043",0,0,3011329
723,MANINFRA,MANINFRA.NS,Man Infraconstruction Limited,"40,961",0,0,4665857
724,INOXWIND,INOXWIND.NS,Inox Wind Limited,"40,833",0,0,2010113
725,DREDGECORP,DREDGECORP.NS,Dredging Corporation of India Limited,"40,726",0,0,2885377
726,KOKUYOCMLN,KOKUYOCMLN.NS,Kokuyo Camlin Limited,"40,523",0,0,4307713
727,COSMOFILMS,COSMOFILMS.NS,Cosmo Films Limited,"40,445",0,0,189953
728,CONFIPET,CONFIPET.NS,Confidence Petroleum India Limited,"40,391",0,0,2620929
729,OLECTRA,OLECTRA.NS,Olectra Greentech Limited,"40,384",0,0,2723073
730,MMFL,MMFL.NS,MM Forgings Limited,"40,375",0,0,3544065
731,ELECTCAST,ELECTCAST.NS,Electrosteel Castings Limited,"40,265",0,0,237569
732,APCOTEXIND,APCOTEXIND.NS,Apcotex Industries Limited,"40,102",0,0,39425
733,MANGLMCEM,MANGLMCEM.NS,Mangalam Cement Limited,"40,041",0,0,539137
734,ZEELEARN,ZEELEARN.NS,Zee Learn Limited,"39,620",0,0,5338113
735,REPRO,REPRO.NS,Repro India Limited,"39,543",0,0,3360257
736,TEXINFRA,TEXINFRA.NS,Texmaco Infrastructure & Holdings Limited,"39,439",0,0,2956545
737,FEL,FEL.NS,Future Enterprises Limited,"39,351",0,0,2692097
738,FILATEX,FILATEX.NS,Filatex India Limited,"39,214",0,0,6280193
739,DALMIASUG,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,"39,094",0,0,199937
740,HMT,HMT.NS,HMT Limited,"39,092",0,0,5042689
741,SOMANYCERA,SOMANYCERA.NS,Somany Ceramics Limited,"38,989",0,0,993281
742,MPSLTD,MPSLTD.NS,MPS Limited,"38,956",0,0,2707969
743,ACE,ACE.NS,Action Construction Equipment Limited,"38,868",0,0,3478273
744,RGL,RGL.NS,Renaissance Global Limited,"38,505",0,0,3873025
745,PUNJABCHEM,PUNJABCHEM.NS,Punjab Chemicals & Crop Protection Limited,"38,221",0,0,1112065
746,BALAJITELE,BALAJITELE.NS,Balaji Telefilms Limited,"38,177",0,0,2344449
748,MTNL,MTNL.NS,Mahanagar Telephone Nigam Limited,"38,115",0,0,587265
749,CENTRUM,CENTRUM.NS,Centrum Capital Limited,"37,651",0,0,628225
750,GUFICBIO,GUFICBIO.NS,Gufic Biosciences Limited,"37,242",0,0,2971137
752,GPIL,GPIL.NS,Godawari Power And Ispat limited,"36,875",0,0,3432705
753,THEINVEST,THEINVEST.NS,The Investment Trust Of India Limited,"36,839",0,0,5485313
754,EVEREADY,EVEREADY.NS,Eveready Industries India Limited,"36,671",0,0,3016193
755,NACLIND,NACLIND.NS,NACL Industries Limited,"36,665",0,0,5228801
756,NEULANDLAB,NEULANDLAB.NS,Neuland Laboratories Limited,"36,302",0,0,615937
757,TIRUMALCHM,TIRUMALCHM.NS,Thirumalai Chemicals Limited,"36,245",0,0,894977
758,AVTNPL,AVTNPL.NS,AVT Natural Products Limited,"36,015",0,0,3586049
759,GENUSPOWER,GENUSPOWER.NS,Genus Power Infrastructures Limited,"35,902",0,0,3047681
760,GANECOS,GANECOS.NS,Ganesha Ecosphere Limited,"35,888",0,0,1777665
761,WENDT,WENDT.NS,Wendt (India) Limited,"35,631",0,0,1084161
762,GVKPIL,GVKPIL.NS,GVK Power & Infrastructure Limited,"35,532",0,0,335617
763,XCHANGING,XCHANGING.NS,Xchanging Solutions Limited,"35,482",0,0,2996481
764,PATELENG,PATELENG.NS,Patel Engineering Limited,"35,478",0,0,2994945
765,TTML,TTML.NS,Tata Teleservices (Maharashtra) Limited,"35,189",0,0,2293249
766,GREENPANEL,GREENPANEL.NS,Greenpanel Industries Limited,"35,071",0,0,3535361
767,RPOWER,RPOWER.NS,Reliance Power Limited,"35,064",0,0,3906817
768,ARMANFIN,ARMANFIN.NS,Arman Financial Services Limited,"35,026",0,0,4419329
769,SANDESH,SANDESH.NS,The Sandesh Limited,"34,702",0,0,764929
770,NBIFIN,NBIFIN.NS,N. B. I. Industrial Finance Company Limited,"34,658",0,0,4892417
771,PRICOLLTD,PRICOLLTD.NS,Pricol Limited,"34,601",0,0,5025537
772,BORORENEW,BORORENEW.NS,BOROSIL RENEWABLES LIMITED,"34,419",0,0,806145
773,SURYAROSNI,SURYAROSNI.NS,Surya Roshni Limited,"34,223",0,0,864001
774,ADFFOODS,ADFFOODS.NS,ADF Foods Limited,"34,039",0,0,5058817
775,SAREGAMA,SAREGAMA.NS,Saregama India Limited,"34,031",0,0,1252353
776,LUMAXTECH,LUMAXTECH.NS,Lumax Auto Technologies Limited,"33,977",0,0,3587585
777,SHREDIGCEM,SHREDIGCEM.NS,Shree Digvijay Cement Co.Ltd,"33,576",0,0,793345
778,PRAKASH,PRAKASH.NS,Prakash Industries Limited,"33,396",0,0,693249
779,APTECHT,APTECHT.NS,Aptech Limited,"33,311",0,0,2753281
780,FIEMIND,FIEMIND.NS,Fiem Industries Limited,"33,308",0,0,3509761
781,SHARDAMOTR,SHARDAMOTR.NS,Sharda Motor Industries Limited,"33,258",0,0,2695681
782,ANUP,ANUP.NS,The Anup Engineering Limited,"33,245",0,0,2307585
783,BHAGERIA,BHAGERIA.NS,Bhageria Industries Limited,"33,017",0,0,3430401
784,CANTABIL,CANTABIL.NS,Cantabil Retail India Limited,"32,867",0,0,5160961
785,AHLWEST,AHLWEST.NS,Asian Hotels (West) Limited,"32,851",0,0,4957697
786,UNITECH,UNITECH.NS,Unitech Limited,"32,704",0,0,2276609
787,IFGLEXPOR,IFGLEXPOR.NS,IFGL Refractories Limited,"32,652",0,0,111617
788,CENTUM,CENTUM.NS,Centum Electronics Limited,"32,579",0,0,3835393
789,THANGAMAYL,THANGAMAYL.NS,Thangamayil Jewellery Limited,"32,522",0,0,4638209
790,SATIN,SATIN.NS,Satin Creditcare Network Limited,"32,446",0,0,2675969
791,VADILALIND,VADILALIND.NS,Vadilal Industries Limited,"32,281",0,0,6194177
792,BBL,BBL.NS,Bharat Bijlee Limited,"32,188",0,0,3522817
793,SUTLEJTEX,SUTLEJTEX.NS,Sutlej Textiles and Industries Limited,"32,110",0,0,3533057
794,APOLLOPIPE,APOLLOPIPE.NS,Apollo Pipes Limited,"32,098",0,0,3676417
795,ZOTA,ZOTA.NS,Zota Health Care LImited,"31,990",0,0,2916865
796,GICHSGFIN,GICHSGFIN.NS,GIC Housing Finance Limited,"31,988",0,0,291585
797,CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Limited,"31,651",0,0,194561
798,CESCVENT,CESCVENT.NS,CESC Ventures Limited,"31,270",0,0,2078465
799,SREEL,SREEL.NS,Sreeleathers Limited,"31,180",0,0,8150273
800,DWARKESH,DWARKESH.NS,Dwarikesh Sugar Industries Limited,"31,164",0,0,2986753
801,INDRAMEDCO,INDRAMEDCO.NS,Indraprastha Medical Corporation Limited,"31,077",0,0,1216257
802,RIIL,RIIL.NS,Reliance Industrial Infrastructure Limited,"30,895",0,0,745473
803,ORIENTHOT,ORIENTHOT.NS,Oriental Hotels Limited,"30,808",0,0,638209
804,GTLINFRA,GTLINFRA.NS,GTL Infrastructure Limited,"30,798",0,0,3518721
805,NELCO,NELCO.NS,NELCO Limited,"30,782",0,0,611329
806,ORIENTPPR,ORIENTPPR.NS,Orient Paper & Industries Limited,"30,767",0,0,638977
807,ATULAUTO,ATULAUTO.NS,Atul Auto Limited,"30,578",0,0,7685889
808,CONTROLPR,CONTROLPR.NS,Control Print Limited,"30,418",0,0,4474113
809,GNA,GNA.NS,GNA Axles Limited,"30,288",0,0,4754177
810,AMBIKCO,AMBIKCO.NS,Ambika Cotton Mills Limited,"30,225",0,0,3899905
811,NSIL,NSIL.NS,Nalwa Sons Investments Limited,"30,129",0,0,2877185
812,BAJAJHIND,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,"30,039",0,0,78849
813,IMFA,IMFA.NS,Indian Metals & Ferro Alloys Limited,"29,985",0,0,4924161
814,SUMMITSEC,SUMMITSEC.NS,Summit Securities Limited,"29,964",0,0,5446401
815,EMAMIPAP,EMAMIPAP.NS,Emami Paper Mills Limited,"29,947",0,0,2578945
816,BLS,BLS.NS,BLS International Services Limited,"29,864",0,0,4423425
817,VHL,VHL.NS,Vardhman Holdings Limited,"29,826",0,0,3044353
818,DYNAMATECH,DYNAMATECH.NS,Dynamatic Technologies Limited,"29,396",0,0,1158401
819,TEJASNET,TEJASNET.NS,Tejas Networks Limited,"29,391",0,0,5409537
820,INDORAMA,INDORAMA.NS,Indo Rama Synthetics (India) Limited,"29,375",0,0,2814209
821,IGPL,IGPL.NS,IG Petrochemicals Limited,"29,317",0,0,3606017
822,PLASTIBLEN,PLASTIBLEN.NS,Plastiblends India Limited,"29,186",0,0,3563521
823,HSIL,HSIL.NS,HSIL Limited,"29,172",0,0,361473
824,5PAISA,5PAISA.NS,5Paisa Capital Limited,"28,828",0,0,113921
825,MANGCHEFER,MANGCHEFER.NS,Mangalore Chemicals & Fertilizers Limited,"28,799",0,0,3841793
826,TWL,TWL.NS,Titagarh Wagons Limited,"28,786",0,0,3945985
827,ASALCBR,ASALCBR.NS,Associated Alcohols & Breweries Ltd.,"28,547",0,0,4505089
828,RTNINFRA,RTNINFRA.NS,RattanIndia Infrastructure Limited,"28,337",0,0,6988033
829,RPGLIFE,RPGLIFE.NS,RPG Life Sciences Limited,"28,083",0,0,4281601
830,HMVL,HMVL.NS,Hindustan Media Ventures Limited,"27,926",0,0,4918017
831,BRNL,BRNL.NS,Bharat Road Network Limited,"27,745",0,0,5550849
832,MONTECARLO,MONTECARLO.NS,Monte Carlo Fashions Limited,"27,636",0,0,1520129
833,RBL,RBL.NS,Rane Brake Lining Limited,"27,556",0,0,4286721
834,GKWLIMITED,GKWLIMITED.NS,GKW Limited,"27,506",0,0,4444161
835,DECCANCE,DECCANCE.NS,Deccan Cements Limited,"27,476",0,0,3798529
836,TFCILTD,TFCILTD.NS,Tourism Finance Corporation of India Limited,"27,323",0,0,887297
837,SUVEN,SUVEN.NS,Suven Life Sciences Limited,"27,238",0,0,2875649
838,DHFL,DHFL.NS,Dewan Housing Finance Corporation Limited,"27,146",0,0,215553
839,UNIENTER,UNIENTER.NS,Uniphos Enterprises Limited,"27,123",0,0,2891009
840,RICOAUTO,RICOAUTO.NS,Rico Auto Industries Limited,"26,922",0,0,744705
841,UNIVCABLES,UNIVCABLES.NS,Universal Cables Limited,"26,919",0,0,923393
842,NAVKARCORP,NAVKARCORP.NS,Navkar Corporation Limited,"26,868",0,0,2702593
843,RELINFRA,RELINFRA.NS,Reliance Infrastructure Limited,"26,825",0,0,141569
844,SHALPAINTS,SHALPAINTS.NS,Shalimar Paints Limited,"26,716",0,0,3927553
845,NELCAST,NELCAST.NS,Nelcast Limited,"26,448",0,0,3778817
846,TDPOWERSYS,TDPOWERSYS.NS,TD Power Systems Limited,"26,247",0,0,6445569
847,KESORAMIND,KESORAMIND.NS,Kesoram Industries Limited,"26,165",0,0,475905
848,CENTENKA,CENTENKA.NS,Century Enka Limited,"26,002",0,0,158465
849,ZUARI,ZUARI.NS,Zuari Agro Chemicals Limited,"25,971",0,0,7436801
850,LINCOLN,LINCOLN.NS,Lincoln Pharmaceuticals Limited,"25,850",0,0,2968577
851,MUNJALAU,MUNJALAU.NS,Munjal Auto Industries Limited,"25,850",0,0,3458817
852,NATHBIOGEN,NATHBIOGEN.NS,Nath Bio-Genes (India) Limited,"25,712",0,0,2832641
853,JPASSOCIAT,JPASSOCIAT.NS,Jaiprakash Associates Limited,"25,541",0,0,2933761
854,NRAIL,NRAIL.NS,N R Agarwal Industries Limited,"25,256",0,0,5200385
855,ADORWELD,ADORWELD.NS,Ador Welding Limited,"25,212",0,0,8705
856,DICIND,DICIND.NS,DIC India Limited,"24,907",0,0,179969
857,KUANTUM,KUANTUM.NS,Kuantum Papers Limited,"24,905",0,0,3550721
858,HINDNATGLS,HINDNATGLS.NS,Hindusthan National Glass & Industries Limited,"24,762",0,0,4363777
859,GANDHITUBE,GANDHITUBE.NS,Gandhi Special Tubes Limited,"24,436",0,0,3613697
860,NCLIND,NCLIND.NS,NCL Industries Limited,"24,380",0,0,3709441
861,HARITASEAT,HARITASEAT.NS,Harita Seating Systems Limited,"24,368",0,0,4365313
862,GLOBUSSPR,GLOBUSSPR.NS,Globus Spirits Limited,"24,321",0,0,4460545
863,ALICON,ALICON.NS,Alicon Castalloy Limited,"24,258",0,0,3495937
864,DATAMATICS,DATAMATICS.NS,Datamatics Global Services Limited,"24,199",0,0,2924289
865,VISHWARAJ,VISHWARAJ.NS,Vishwaraj Sugar Industries Limited,"24,055",0,0,3507713
866,SPIC,SPIC.NS,Southern Petrochemicals Industries Corporation  Limited,"24,030",0,0,832513
867,ARVSMART,ARVSMART.NS,Arvind SmartSpaces Limited,"24,016",0,0,2676993
868,PGIL,PGIL.NS,Pearl Global Industries Limited,"23,863",0,0,3650561
869,APCL,APCL.NS,Anjani Portland Cement Limited,"23,857",0,0,5235969
870,AVADHSUGAR,AVADHSUGAR.NS,Avadh Sugar & Energy Limited,"23,652",0,0,5479937
871,PRECAM,PRECAM.NS,Precision Camshafts Limited,"23,556",0,0,3226369
872,MANINDS,MANINDS.NS,Man Industries (India) Limited,"23,412",0,0,3042305
873,HTMEDIA,HTMEDIA.NS,HT Media Limited,"23,275",0,0,3066625
874,MUNJALSHOW,MUNJALSHOW.NS,Munjal Showa Limited,"23,269",0,0,590593
875,ZODIACLOTH,ZODIACLOTH.NS,Zodiac Clothing Company Limited,"23,253",0,0,978177
876,GRAVITA,GRAVITA.NS,Gravita India Limited,"23,093",0,0,5256705
877,AJMERA,AJMERA.NS,Ajmera Realty & Infra India Limited,"22,959",0,0,4430593
878,MEP,MEP.NS,MEP Infrastructure Developers Limited,"22,839",0,0,2245377
879,VIDHIING,VIDHIING.NS,Vidhi Specialty Food Ingredients Limited,"22,800",0,0,3465217
880,SMSPHARMA,SMSPHARMA.NS,SMS Pharmaceuticals Limited,"22,771",0,0,3668225
881,SHREEPUSHK,SHREEPUSHK.NS,Shree Pushkar Chemicals & Fertilisers Limited,"22,598",0,0,2710529
882,GIRRESORTS,GIRRESORTS.NS,GIR Natureview Resorts Limited,"22,472",0,0,2543361
883,RAMCOSYS,RAMCOSYS.NS,Ramco Systems Limited,"22,444",0,0,2009857
884,SHRIRAMEPC,SHRIRAMEPC.NS,Shriram EPC Limited,"22,345",0,0,3918849
885,CAREERP,CAREERP.NS,Career Point Limited,"22,322",0,0,5142017
886,TNPETRO,TNPETRO.NS,Tamilnadu PetroProducts Limited,"22,313",0,0,898305
887,IFBAGRO,IFBAGRO.NS,IFB Agro Industries Limited,"22,312",0,0,379393
888,MARINE,MARINE.NS,Marine Electricals (India) Limited,"22,092",0,0,339969
889,THEMISMED,THEMISMED.NS,Themis Medicare Limited,"22,025",0,0,3708161
890,NECLIFE,NECLIFE.NS,Nectar Lifesciences Limited,"21,978",0,0,3053313
891,UFO,UFO.NS,UFO Moviez India Limited,"21,802",0,0,2313985
892,JAYBARMARU,JAYBARMARU.NS,Jay Bharat Maruti Limited,"21,715",0,0,437249
893,SHAKTIPUMP,SHAKTIPUMP.NS,Shakti Pumps (India) Limited,"21,670",0,0,6547969
894,DLINKINDIA,DLINKINDIA.NS,D-Link (India) Limited,"21,658",0,0,4569857
895,VARDHACRLC,VARDHACRLC.NS,Vardhman Acrylics Limited,"21,497",0,0,2872321
896,PENIND,PENIND.NS,Pennar Industries Limited,"21,482",0,0,5278977
897,VISAKAIND,VISAKAIND.NS,Visaka Industries Limited,"21,400",0,0,1080577
898,LINCPEN,LINCPEN.NS,Linc Pen & Plastics Limited,"21,277",0,0,1779457
899,CEREBRAINT,CEREBRAINT.NS,Cerebra Integrated Technologies Limited,"21,268",0,0,7683073
900,ELECON,ELECON.NS,Elecon Engineering Company Limited,"21,262",0,0,3492609
901,63MOONS,63MOONS.NS,63 moons technologies limited,"21,219",0,0,3038977
902,RUBYMILLS,RUBYMILLS.NS,The Ruby Mills Limited,"21,017",0,0,752385
903,3IINFOTECH,3IINFOTECH.NS,3i Infotech Limited,"21,016",0,0,3014145
904,MAHESHWARI,MAHESHWARI.NS,Maheshwari Logistics Limited,"20,807",0,0,2451713
905,EVERESTIND,EVERESTIND.NS,Everest Industries Limited,"20,695",0,0,254209
906,MAHEPC,MAHEPC.NS,Mahindra EPC Irrigation Limited,"20,656",0,0,4506369
907,DHANBANK,DHANBANK.NS,Dhanlaxmi Bank Limited,"20,367",0,0,2907905
908,ESTER,ESTER.NS,Ester Industries Limited,"20,056",0,0,6211841
909,GOLDIAM,GOLDIAM.NS,Goldiam International Limited,"20,038",0,0,3064577
910,SANGHVIMOV,SANGHVIMOV.NS,Sanghvi Movers Limited,"19,977",0,0,3598849
911,HLVLTD,HLVLTD.NS,HLV LIMITED,"19,862",0,0,370689
912,PPAP,PPAP.NS,PPAP Automotive Limited,"19,838",0,0,3893505
913,MADRASFERT,MADRASFERT.NS,Madras Fertilizers Limited,"19,815",0,0,1257217
914,CHEMBOND,CHEMBOND.NS,Chembond Chemicals Ltd,"19,742",0,0,3742209
915,UTTAMSUGAR,UTTAMSUGAR.NS,Uttam Sugar Mills Limited,"19,641",0,0,3424257
916,BINDALAGRO,BINDALAGRO.NS,Oswal Chemicals & Fertilizers Limited,"19,261",0,0,120577
917,HIRECT,HIRECT.NS,Hind Rectifiers Limited,"19,139",0,0,3555841
918,SKIPPER,SKIPPER.NS,Skipper Limited,"19,097",0,0,2413569
919,SDBL,SDBL.NS,Som Distilleries & Breweries Limited,"19,051",0,0,342529
920,MARATHON,MARATHON.NS,Marathon Nextgen Realty Limited,"19,044",0,0,4776705
921,TI,TI.NS,Tilaknagar Industries Limited,"18,895",0,0,4914177
922,CUPID,CUPID.NS,Cupid Limited,"18,820",0,0,4741121
923,MUKANDLTD,MUKANDLTD.NS,Mukand Limited,"18,807",0,0,2899201
924,STCINDIA,STCINDIA.NS,The State Trading Corporation of India Limited,"18,570",0,0,2802689
925,SASTASUNDR,SASTASUNDR.NS,Sastasundar Ventures Limited,"18,450",0,0,5136129
926,PTL,PTL.NS,PTL Enterprises Limited,"18,334",0,0,3609857
927,MCL,MCL.NS,Madhav Copper Limited,"18,267",0,0,5724161
928,JAIBALAJI,JAIBALAJI.NS,Jai Balaji Industries Limited,"18,226",0,0,2881537
929,ALBERTDAVD,ALBERTDAVD.NS,Albert David Limited,"18,180",0,0,4417537
930,SREINFRA,SREINFRA.NS,SREI Infrastructure Finance Limited,"18,111",0,0,836353
931,EIFFL,EIFFL.NS,Euro India Fresh Foods Limited,"18,104",0,0,5183745
932,ARTEMISMED,ARTEMISMED.NS,Artemis Medicare Services Limited,"18,093",0,0,4356865
933,RCOM,RCOM.NS,Reliance Communications Limited,"17,976",0,0,3375873
934,NAGAFERT,NAGAFERT.NS,Nagarjuna Fertilizers and Chemicals Limited,"17,942",0,0,4428545
935,MANAKSIA,MANAKSIA.NS,Manaksia Limited,"17,792",0,0,3890945
