Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
126,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,"1,584,705",0,0,40193
127,BATAINDIA,BATAINDIA.NS,Bata India Limited,"1,582,303",0,0,94977
128,VOLTAS,VOLTAS.NS,Voltas Limited,"1,577,989",0,0,951809
129,IRCTC,IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,"1,572,080",0,0,3484417
130,BALKRISIND,BALKRISIND.NS,Balkrishna Industries Limited,"1,530,396",0,0,85761
131,VBL,VBL.NS,Varun Beverages Limited,"1,528,462",0,0,4843777
132,NAM-INDIA,NAM-INDIA.NS,Nippon Life India Asset Management Limited,"1,525,197",0,0,91393
133,GODREJPROP,GODREJPROP.NS,Godrej Properties Limited,"1,520,331",0,0,4576001
134,ADANIENT,ADANIENT.NS,Adani Enterprises Limited,"1,513,339",0,0,6401
135,SRTRANSFIN,SRTRANSFIN.NS,Shriram Transport Finance Company Limited,"1,498,901",0,0,1102337
136,RELAXO,RELAXO.NS,Relaxo Footwears Limited,"1,486,872",0,0,6201601
137,AUBANK,AUBANK.NS,AU Small Finance Bank Limited,"1,483,255",0,0,5436929
138,SANOFI,SANOFI.NS,Sanofi India Limited,"1,440,185",0,1,369153
139,TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Limited,"1,413,622",0,0,2170625
140,ASTRAL,ASTRAL.NS,Astral Poly Technik Limited,"1,411,479",0,0,3691009
141,MINDTREE,MINDTREE.NS,MindTree Limited,"1,363,805",0,0,3675137
142,TORNTPOWER,TORNTPOWER.NS,Torrent Power Limited,"1,341,161",0,0,3529217
143,SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Limited,"1,336,857",0,0,854785
144,AARTIIND,AARTIIND.NS,Aarti Industries Limited,"1,335,943",0,0,1793
145,AIAENG,AIAENG.NS,AIA Engineering Limited,"1,314,119",0,0,3350017
146,CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,"1,309,650",0,0,4376065
147,ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited,"1,263,744",0,0,54273
148,MPHASIS,MPHASIS.NS,MphasiS Limited,"1,238,798",0,0,1152769
149,LTTS,LTTS.NS,L&T Technology Services Limited,"1,211,695",0,0,4752385
150,RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Limited,"1,208,156",0,0,523009
151,OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty Limited,"1,206,250",0,0,5181953
152,CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,"1,195,063",0,0,175361
153,AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,"1,192,251",0,0,2079745
154,ZEEL,ZEEL.NS,Zee Entertainment Enterprises Limited,"1,190,519",1,1,975873
155,LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Limited,"1,187,472",0,0,511233
156,ATUL,ATUL.NS,Atul Limited,"1,183,043",0,0,67329
157,ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,"1,182,921",0,0,7707649
