index,Resistance,Support,Call_chng,Put_chng,diff,time,Action
INFY.NS,1360.0,1300.0,-524.0,-1278.0,-754.0,2021-01-27 15:29:00,Sell
HDFC.NS,2500.0,2450.0,123.0,-223.0,-346.0,2021-01-27 15:29:00,Sell
HDFCBANK.NS,1460.0,1400.0,-30.0,-3051.0,-3021.0,2021-01-27 15:29:00,Sell
HINDUNILVR.NS,2440.0,2360.0,-555.0,57.0,612.0,2021-01-27 15:29:00,Buy
TCS.NS,3300.0,3250.0,-425.0,-744.0,-319.0,2021-01-27 15:29:00,Sell
RELIANCE.NS,1900.0,1850.0,1488.0,-2036.0,-3524.0,2021-01-27 15:29:00,Sell
VOLTAS.NS,920.0,900.0,-55.0,-157.0,-102.0,2021-01-27 15:29:00,Sell
TATACHEM.NS,500.0,480.0,-14.0,-79.0,-65.0,2021-01-27 15:29:00,Sell
IGL.NS,540.0,520.0,-28.0,-38.0,-10.0,2021-01-27 15:29:00,Sell
BAJAJFINSV.NS,9300.0,9000.0,-349.0,-205.0,144.0,2021-01-27 15:29:00,Buy
IBULHSGFIN.NS,200.0,190.0,9.0,-200.0,-209.0,2021-01-27 15:29:00,Sell
